CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
Mental Retardation,American Association on Mental Retardation,Mental Retardation,
Mental Retardation and Developmental Disabilities Research Reviews,Wiley-Blackwell,Mental Retardation and Developmental Disabilities Research Reviews,
Mental Welfare commission for scotland,Mental Welfare commission for scotland,,
Mentality,Mentality,,
Merck Manual of Diagnosis and Therapy,Merck Manual of Diagnosis and Therapy,,
"Merck Research Laboratories, Merck and Co. Inc.","Merck Research Laboratories, Merck and Co. Inc.",,
"MeReC Bulletin, National Prescribing Centre",National Prescribing Centre (NPC),MeReC Bulletin,
MeReC Extra,National Prescribing Centre (NPC),MeReC Extra,
MeReC Publications,National Prescribing Centre (NPC),MeReC Publications,
Merion Publications,Merion Publications,,
Mersey Care NHS Trust,Mersey Care NHS Trust,,
Mexican Institute of Petroleum,Mexican Institute of Petroleum,,
Michigan Quality Improvement Consortium,Michigan Quality Improvement Consortium,,
Microsurgeon.org,Microsurgeon.org,,
Mid Hampshire Primary Care Trust,Mid Hampshire Primary Care Trust,,
Middlesbrough Partnership,Middlesbrough Partnership,,
Middlesex University,Middlesex University,,
Midlands Therapeutics Review and Advisory Committee (MTRAC),Midlands Therapeutics Review and Advisory Committee (MTRAC),,
MidTECH,MidTECH,,
Midwifery,Elsevier,Midwifery,
Milbank Memorial Fund,Milbank Memorial Fund,,
The Milbank Quarterly,Wiley-Blackwell,Milbank Quarterly,
Millennium Medical Publishing,Millennium Medical Publishing,,
MIND,MIND,,
Minerva Medica,Edizioni Minerva Medica,Minerva Medica,
Minerva Pediatrica,Edizioni Minerva Medica,Minerva Pediatrica,
Minervation,Minervation,,
Ministerial Taskforce on the Summary Care Record,Ministerial Taskforce on the Summary Care Record,,
"Ministry of Health and Long-Term Care, Canada","Ministry of Health and Long-Term Care, Canada",,
Ministry of Justice,Ministry of Justice,,
Ministry of Social Affairs and Health,Ministry of Social Affairs and Health,,
Minnesota Department of Health,Minnesota Department of Health,,
The Miscarriage Association,Miscarriage Association,,
MIT Sloan Management Review,MIT Sloan Management Review,,
MMW Fortschritte der Medizin,MMW Fortschritte der Medizin,,
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease,Centers for Disease Control and Prevention,,
Mobile Emergency Service for Resuscitation and Extrication,Mobile Emergency Service for Resuscitation and Extrication,,
Modern rheumatology,Springer,Modern Rheumatology,
Modernisation Directorate,Modernisation Directorate,,
Modernisation Initiative,Modernisation Initiative,,
"Modernising Children's Hearing Aid Services, University of Manchester","Modernising Children's Hearing Aid Services, University of Manchester",,
Modernising Medical Careers (MMC),Modernising Medical Careers (MMC),,
Molecular Biology Reports,Springer,Molecular Biology Reports,
Monaldi Archives for Chest Disease - Pulmonary Series,Fondazione Salvatore Maugeri,Monaldi Archives for Chest Disease - Pulmonary Series,
"Monash University, Australia","Monash University, Australia",,
Monitor,Monitor,,
Moore Adamson Craig (MAC) Partnership LLP,Moore Adamson Craig (MAC) Partnership LLP,,
Morbidity and Mortality Weekly Report (MMWR),Morbidity and Mortality Weekly Report (MMWR),,
Mosby,Mosby,,
Motor Neurone Disease Association,Motor Neurone Disease Association,,
The Mountain States Genetics Foundation (MSGF),Mountain States Genetics Foundation (MSGF),,
Movement Disorders,Wiley-Blackwell,Movement Disorders,
Movement Disorders Society,Movement Disorders Society,,
Moving On Up,Moving On Up,,
MRC Hearing and Communication Group,MRC Hearing and Communication Group,,
MRC Institute of Hearing Research,MRC Institute of Hearing Research,,
MTS Learning and Development Partnership,University of Birmingham,Health Services Management Centre,
Multi-Faith Group for Healthcare Chaplaincy,Multi-Faith Group for Healthcare Chaplaincy,,
Multimedia Manual of Cardiothoracic Surgery,Multimedia Manual of Cardiothoracic Surgery,,
Multiple Sclerosis International Foundation,Multiple Sclerosis International Foundation,,
Multiple Sclerosis Society of Great Britain and Northern Ireland,Multiple Sclerosis Society of Great Britain and Northern Ireland,,
Multiple Sclerosis Trust,Multiple Sclerosis Trust,,
"Munksgaard, Acta Ophthalmologica Scandinavica",,,1
Muscular Dystrophy Campaign,Muscular Dystrophy Campaign,,
Musculoskeletal Care,Wiley-Blackwell,Musculoskeletal Care,
"Museums, Libraries and Archives Council","Museums, Libraries and Archives Council",,
Mutation Research,Elsevier,Mutation Research,
Mycosis Fungoides International,Mycosis Fungoides International,,
Myocardial Infarction National Audit Project Team,Myocardial Infarction National Audit Project Team,,
NACRO,NACRO,,
NAM Publications,NAM Publications,,
Nancy A. Mitchell,,,1
NASW Press,NASW Press,,
NATAonline.com,Network for Advancement of Transfusion Alternatives,,
National Academies Press,National Academies Press,,
National Academy of Clinical Biochemistry,National Academy of Clinical Biochemistry,,
National Academy of Engineering,National Academy of Engineering,,
National Academy of Sciences,National Academy of Sciences,,
National Acoustic Laboratories,National Acoustic Laboratories,,
"National Addiction Centre, DrugScope, Alcohol Concern",National Addiction Centre,,
National Advisory Committee on Nutrition Education,National Advisory Committee on Nutrition Education,,
The National Ankylosing Spondylitis Society (NASS),National Ankylosing Spondylitis Society (NASS),,
National Assembly for Wales,National Assembly for Wales,,
National Association for Patient Participation,National Association for Patient Participation,,
National Association for the Relief of Paget's Disease,National Association for the Relief of Paget's Disease,,
National Association for Voluntary and Community Action,National Association for Voluntary and Community Action,,
National Association of LINks Members,National Association of LINks Members,,
National Association of Primary Care (NAPC),National Association of Primary Care (NAPC),,
National Audit Office,National Audit Office,,
National Autistic Society,National Autistic Society,,
The National Autistic Society,National Autistic Society,,
"National Autistic Society in collaboration with Royal College of Psychiatrists, Royal College of Paediatrics and Child Health and the All Party Parliamentary Group on Autism",National Autistic Society,,
National Black Carers & Carers Workers Network,National Black Carers and Carers Workers Network,,
National Blood Service,National Blood Service,,
National Breast Cancer Centre (New South Wales),National Breast Cancer Centre (New South Wales),,
National Business Group on Health,National Business Group on Health,,
National CAMHS Support Service,National CAMHS Support Service,,
National Cancer Action Team,National Cancer Action Team,,
National Cancer Equality Initiative (NCEI),National Cancer Equality Initiative (NCEI),,
"National Cancer Institute, USA","National Cancer Institute, USA",,
National Cancer Intelligence Network,National Cancer Intelligence Network,,
National Care Association,National Care Association,,
National Center for Biotechnology Information (NCBI),National Center for Biotechnology Information (NCBI),,
"National Center for Cultural Competence, Georgetown","National Center for Cultural Competence, Georgetown",,
National Center for the Dissemination of Disability Research,National Center for the Dissemination of Disability Research,,
National Center on Physical Activity and Disability (NCPAD),National Center on Physical Activity and Disability (NCPAD),,
National Centre for Eating Disorders,National Centre for Eating Disorders,,
National Centre for Emergency Medicine Informatics,National Centre for Emergency Medicine Informatics,,
National Centre for Health Outcomes Development,National Centre for Health Outcomes Development,,
National Centre for Social Research,National Centre for Social Research,,
National Centre for Social Research; Department of Epidemiology and Public Health at the Royal Free and University College Medical School,National Centre for Social Research,,
National Childbirth Trust,National Childbirth Trust,,
"National Childbirth Trust, The Royal College of Midwives, Royal College of Obstetricians and Gynaecologists",National Childbirth Trust,,
National Children's Bureau,National Children's Bureau,,
National Children's Bureau & Council for Disabled Children,National Children's Bureau,,
National Chlamydia Screening Programme,National Chlamydia Screening Programme,,
National Clinical Audit Forum,National Clinical Audit Forum,,
National Clinical Audit Support Programme,National Clinical Audit Support Programme,,
National Collaborating Centre for Community Engagement (NCCCE),National Collaborating Centre for Community Engagement (NCCCE),,
National Collaborating Centre for Drug Prevention,National Collaborating Centre for Drug Prevention,,
National Collaborating Centre for Primary Care and Royal College of Practitioners,National Collaborating Centre for Primary Care and Royal College of Practitioners,,
National Computing Centre,,,
National Confidential Enquiry into Patient Outcome and Death (NCEPOD),National Confidential Enquiry into Patient Outcome and Death (NCEPOD),,
National Consumer Council,National Consumer Council,,
National Co-Ordinating Centre for Health Technology Assessment,National Co-ordinating Centre for Health Technology Assessment,,
National Coordinating Centre for NHS Service Delivery and Organisation (NCCSDO),National Institute for Health Research (NIHR),NIHR Service Delivery and Organisation Programme,
"NCCSDO (National Co-ordinating Centre for NHS Service Delivery and Organisation Research and Development), London School of Hygiene and Tropical Medicine",National Institute for Health Research (NIHR),NIHR Service Delivery and Organisation Programme,
National Co-ordinating Centre for Research Capacity Development,National Co-ordinating Centre for Research Capacity Development,,
National Council for Palliative Care (NCPC),National Council for Palliative Care (NCPC),,
The National Council for Palliative Care,National Council for Palliative Care (NCPC),,
National Deaf Children's Society (NDCS),National Deaf Children's Society (NDCS),,
The National Deaf Children's Society (NDCS),National Deaf Children's Society (NDCS),,
National Development Team,National Development Team,,
National Diabetes Information Clearinghouse (NDIC),National Diabetes Information Clearinghouse (NDIC),,
National Diabetes Support Team,NHS Diabetes,,
National Documentation Centre on Drug Use,National Documentation Centre on Drug Use,,
National Eczema Society,National Eczema Society,,
National electronic Library for Medicines (NeLM),National electronic Library for Medicines (NeLM),,
National End of Life Care Programme,National End of Life Care Programme,,
"National Endowment for Science, Technology and the Arts (NESTA)","National Endowment for Science, Technology and the Arts (NESTA)",,
